Title,Year,Note
The Astrologer,1975,1/13 CTV_2022-08-19 - CULTS (redux)
Manos: The Hands of Fate,1966,2/13 CTV_2022-08-19 - CULTS (redux)
The Love Thrill Murders,1971,3/13 CTV_2022-08-19 - CULTS (redux)
Mandy,2018,4/13 CTV_2022-08-19 - CULTS (redux)
Night Terrors,1993,5/13 CTV_2022-08-19 - CULTS (redux)
Black Candles,1982,6/13 CTV_2022-08-19 - CULTS (redux)
Manson,1973,7/13 CTV_2022-08-19 - CULTS (redux)
Deathmaster,1972,8/13 CTV_2022-08-19 - CULTS (redux)
Satanis: The Devilâ€™s Mass,1970,9/13 CTV_2022-08-19 - CULTS (redux)
Guyana: Cult of the Damned,1979,10/13 CTV_2022-08-19 - CULTS (redux)
Sympathy for the Devil: The True Story of the Process Church of the Final Judgment,2015,11/13 CTV_2022-08-19 - CULTS (redux)
The Book of Manson,1989,12/13 CTV_2022-08-19 - CULTS (redux)
The Source Family,2012,13/13 CTV_2022-08-19 - CULTS (redux)
